Course,Professor
FDE2,X1_Caleb
FDE2,X3_Daniel
FDE5,X1_Hannah
FDE5,X3_Uriel
FDC10,X2_Oliver
FDC10,X3_Zari
HDC2,X2_Penelope
HDC2,X3_Zari
HDC1,X1_Isaac
HDC1,X2_Rose
FDC2,X2_Kaden
FDC2,X3_Tessa
HDE4,X3_Xena
HDE4,X3_Yosef
FDC11,X1_Gabriel
FDC11,X2_Nora
FDC7,X3_William
FDC7,X3_Donald
HDE1,X2_Mason
HDE1,X3_William
HDC3,X2_Quentin
HDC3,X3_Abdul
FDC4,X1_Bella
FDC4,X2_Penelope
FDC3,X3_Violet
FDC3,X3_Yosef
FDE4,X1_Aiden
FDE4,X1_Jasmine
FDC1,X1_Delilah
FDC1,X2_Rose
FDC6,X3_Violet
FDC6,X3_Abdul
HDE2,X2_Lily
HDE2,X3_Sebastian
HDC4,X1_Ethan
HDC4,X2_Quentin
HDE3,X2_Oliver
HDE3,X3_Uriel
FDE3,X3_Tessa
FDE3,X3_Xena
FDC9,X2_Lily
FDC9,X3_Sebastian
FDC8,X2_Nora
FDC8,X3_Mohar
FDE1,X1_Fiona
FDE1,X3_Mohar
FDC5,X3_Daniel
FDC5,X3_Donald
FDE6,X2_Kaden
FDE6,X2_Mason
